rank,size
0,140978
1,132619
2,95376
3,76299
4,75224
5,62661
6,57118
7,33773
8,21868
9,13022
10,12247
11,11483
12,10223
13,10216
14,10101
15,9904
16,5629
17,5065
18,4940
19,4894
20,4893
21,4874
22,4858
23,4854
24,4741
25,4026
26,3632
27,2957
28,2701
29,2547
30,2498
31,2385
32,1969
33,1902
34,1676
35,1642
36,1627
37,1578
38,1555
39,1476
40,1027
41,609
42,471
43,383
44,362
45,354
46,344
47,231
48,222
49,212
50,197
51,194
52,176
53,170
54,159
55,149
56,128
57,126
58,126
59,117
60,107
61,99
62,88
63,81
64,75
65,49
66,37
67,36
68,28
69,27
70,14
71,12
72,12
73,12
74,12
75,11
76,10
77,9
78,9
79,8
80,8
81,8
82,8
83,8
84,8
85,7
86,7
87,7
88,6
89,6
90,6
91,6
92,4
