rank,size
0,168032
1,101736
2,81814
3,59967
4,59073
5,53873
6,41010
7,39756
8,33786
9,20657
10,18858
11,18421
12,18094
13,14370
14,14045
15,13996
16,13780
17,13749
18,13508
19,12913
20,7000
21,6965
22,6772
23,6636
24,6510
25,6450
26,6416
27,5250
28,4660
29,4588
30,4336
31,4045
32,4039
33,4008
34,3955
35,3872
36,3520
37,2691
38,2618
39,2486
40,2393
41,2348
42,2039
43,2000
44,1995
45,1973
46,1926
47,1871
48,1858
49,1804
50,1765
51,1761
52,1754
53,1724
54,1707
55,1607
56,1512
57,1433
58,1109
59,1080
60,1050
61,988
62,969
63,876
64,662
65,590
66,547
67,494
68,361
69,327
70,325
71,308
72,300
73,299
74,296
75,234
76,206
77,193
78,170
79,165
80,161
81,146
82,121
83,101
84,77
85,70
86,54
87,54
88,54
89,44
90,40
91,30
92,4
