rank,size
0,212793
1,201676
2,119234
3,91892
4,75959
5,70937
6,50320
7,43921
8,31568
9,22429
10,13480
11,13394
12,12898
13,11420
14,11157
15,10780
16,10684
17,10508
18,10508
19,10491
20,10229
21,9841
22,8647
23,6824
24,6679
25,6429
26,6158
27,6112
28,5894
29,5880
30,5799
31,5642
32,5049
33,4906
34,4887
35,4870
36,4774
37,4746
38,4704
39,4620
40,2901
41,2819
42,2152
43,1923
44,1703
45,1697
46,1657
47,1386
48,1376
49,1365
50,1164
51,997
52,635
53,502
54,383
55,381
56,380
57,291
58,290
59,247
60,245
61,243
62,241
63,240
64,191
65,176
66,150
67,150
68,140
69,121
70,119
71,114
72,109
73,108
74,104
75,79
76,77
77,72
78,70
79,49
80,43
81,41
82,34
83,30
84,21
85,18
86,15
87,14
88,12
89,11
90,11
91,10
92,10
93,8
94,8
95,8
96,8
97,7
98,6
99,6
100,6
101,6
102,5
103,4
104,4
105,4
106,4
107,4
108,4
109,3
110,3
111,3
